benchmark;chunk_length;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity,throughput
bench1_base_variant;512;1024;4096;0;0;0;0;2.07613;0.01;722.499
bench2_base_variant_skipping;512;1024;4096;0;0;0;0;1.18717;0.01;1263.51
bench3_3pass_streaming;512;1024;4096;-0.5;-0.5;-0.5;-0.5;1.47803;0.01;1014.86
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;1.56562;0.01;958.089
bench5_3pass_optimized_read_skipping_partial_pss;512;1024;4096;0;0;-0.5;0;0.622288;0.01;2410.46
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1024;4096;0;0;0;0;0.606848;0.01;2471.79
bench7_3pass_optimized_read_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;0.419744;0.01;3573.61
bench8_cub_flagged;512;1024;4096;-0.5;-0.5;-0.5;-0.5;4.39459;0.01;341.329
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1024;4096;0;-0.5;-0.5;0;0.420464;0.01;3567.49
bench1_base_variant;1024;1024;4096;0;0;0;0;8.68581;0.01;172.695
bench2_base_variant_skipping;1024;1024;4096;0;0;0;0;1.88421;0.01;796.09
bench3_3pass_streaming;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;1.40478;0.01;1067.78
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;1.45842;0.01;1028.51
bench5_3pass_optimized_read_skipping_partial_pss;1024;1024;4096;0;0;-0.5;0;0.598496;0.01;2506.28
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1024;4096;0;0;0;0;0.577344;0.01;2598.1
bench7_3pass_optimized_read_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;0.444192;0.01;3376.92
bench8_cub_flagged;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;3.6951;0.01;405.943
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;0.45104;0.01;3325.65
bench1_base_variant;2048;1024;4096;0;0;0;0;9.71701;0.01;154.368
bench2_base_variant_skipping;2048;1024;4096;0;0;0;0;2.80354;0.01;535.039
bench3_3pass_streaming;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;1.34506;0.01;1115.2
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;1.35326;0.01;1108.43
bench5_3pass_optimized_read_skipping_partial_pss;2048;1024;4096;0;0;-0.5;0;0.53784;0.01;2788.93
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1024;4096;0;0;0;0;0.536464;0.01;2796.09
bench7_3pass_optimized_read_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;0.423776;0.01;3539.61
bench8_cub_flagged;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;3.60102;0.01;416.548
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;0.436448;0.01;3436.84
bench1_base_variant;4096;1024;4096;0;0;0;0;11.245;0.01;133.393
bench2_base_variant_skipping;4096;1024;4096;0;0;0;0;5.21078;0.01;287.865
bench3_3pass_streaming;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;1.34429;0.01;1115.83
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;1.34646;0.01;1114.03
bench5_3pass_optimized_read_skipping_partial_pss;4096;1024;4096;0;0;-0.5;0;0.514128;0.01;2917.56
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1024;4096;0;0;0;0;0.526;0.01;2851.71
bench7_3pass_optimized_read_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;0.421856;0.01;3555.72
bench8_cub_flagged;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;3.5887;0.01;417.978
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;0.436736;0.01;3434.57
bench1_base_variant;512;1024;4096;0;0;0;0;14.4312;0.05;103.941
bench2_base_variant_skipping;512;1024;4096;0;0;0;0;13.4286;0.05;111.702
bench3_3pass_streaming;512;1024;4096;-0.5;-0.5;-0.5;-0.5;1.76746;0.05;848.677
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;1.66106;0.05;903.04
bench5_3pass_optimized_read_skipping_partial_pss;512;1024;4096;0;0;-0.5;0;0.845696;0.05;1773.69
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1024;4096;0;0;0;0;0.829616;0.05;1808.07
bench7_3pass_optimized_read_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;0.653344;0.05;2295.88
bench8_cub_flagged;512;1024;4096;-0.5;-0.5;-0.5;-0.5;4.02598;0.05;372.58
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1024;4096;0;-0.5;-0.5;0;0.656576;0.05;2284.58
bench1_base_variant;1024;1024;4096;0;0;0;0;17.4452;0.05;85.9834
bench2_base_variant_skipping;1024;1024;4096;0;0;0;0;6.6345;0.05;226.091
bench3_3pass_streaming;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;1.62114;0.05;925.277
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;1.56474;0.05;958.628
bench5_3pass_optimized_read_skipping_partial_pss;1024;1024;4096;0;0;-0.5;0;0.845936;0.05;1773.18
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1024;4096;0;0;0;0;0.817024;0.05;1835.93
bench7_3pass_optimized_read_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;0.694768;0.05;2158.99
bench8_cub_flagged;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;3.6029;0.05;416.332
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;0.705472;0.05;2126.24
bench1_base_variant;2048;1024;4096;0;0;0;0;14.9006;0.05;100.667
bench2_base_variant_skipping;2048;1024;4096;0;0;0;0;2.87354;0.05;522.005
bench3_3pass_streaming;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;1.62069;0.05;925.533
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;1.55522;0.05;964.496
bench5_3pass_optimized_read_skipping_partial_pss;2048;1024;4096;0;0;-0.5;0;0.793456;0.05;1890.46
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1024;4096;0;0;0;0;0.785008;0.05;1910.81
bench7_3pass_optimized_read_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;0.672928;0.05;2229.06
bench8_cub_flagged;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;3.60178;0.05;416.461
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;0.686288;0.05;2185.67
bench1_base_variant;4096;1024;4096;0;0;0;0;14.3491;0.05;104.536
bench2_base_variant_skipping;4096;1024;4096;0;0;0;0;5.19046;0.05;288.992
bench3_3pass_streaming;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;1.61312;0.05;929.875
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;1.55214;0.05;966.405
bench5_3pass_optimized_read_skipping_partial_pss;4096;1024;4096;0;0;-0.5;0;0.770272;0.05;1947.36
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1024;4096;0;0;0;0;0.773888;0.05;1938.27
bench7_3pass_optimized_read_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;0.67568;0.05;2219.99
bench8_cub_flagged;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;3.60101;0.05;416.55
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;0.688096;0.05;2179.93
bench1_base_variant;512;1024;4096;0;0;0;0;31.874;0.09;47.0602
bench2_base_variant_skipping;512;1024;4096;0;0;0;0;29.4772;0.09;50.8867
bench3_3pass_streaming;512;1024;4096;-0.5;-0.5;-0.5;-0.5;1.9859;0.09;755.324
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;1.84755;0.09;811.885
bench5_3pass_optimized_read_skipping_partial_pss;512;1024;4096;0;0;-0.5;0;1.1215;0.09;1337.49
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1024;4096;0;0;0;0;1.09475;0.09;1370.17
bench7_3pass_optimized_read_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;0.924496;0.09;1622.51
bench8_cub_flagged;512;1024;4096;-0.5;-0.5;-0.5;-0.5;4.07571;0.09;368.034
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1024;4096;0;-0.5;-0.5;0;0.933344;0.09;1607.12
bench1_base_variant;1024;1024;4096;0;0;0;0;31.8927;0.09;47.0327
bench2_base_variant_skipping;1024;1024;4096;0;0;0;0;23.6986;0.09;63.2948
bench3_3pass_streaming;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;1.88408;0.09;796.145
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;1.78899;0.09;838.461
bench5_3pass_optimized_read_skipping_partial_pss;1024;1024;4096;0;0;-0.5;0;1.11171;0.09;1349.27
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1024;4096;0;0;0;0;1.07965;0.09;1389.34
bench7_3pass_optimized_read_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;0.95072;0.09;1577.75
bench8_cub_flagged;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;3.65029;0.09;410.926
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;0.967056;0.09;1551.1
bench1_base_variant;2048;1024;4096;0;0;0;0;29.9534;0.09;50.0779
bench2_base_variant_skipping;2048;1024;4096;0;0;0;0;10.3554;0.09;144.852
bench3_3pass_streaming;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;1.87477;0.09;800.099
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;1.78013;0.09;842.636
bench5_3pass_optimized_read_skipping_partial_pss;2048;1024;4096;0;0;-0.5;0;1.05474;0.09;1422.16
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1024;4096;0;0;0;0;1.03912;0.09;1443.53
bench7_3pass_optimized_read_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;0.925776;0.09;1620.26
bench8_cub_flagged;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;3.64222;0.09;411.836
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;0.944224;0.09;1588.61
bench1_base_variant;4096;1024;4096;0;0;0;0;16.6571;0.09;90.0519
bench2_base_variant_skipping;4096;1024;4096;0;0;0;0;5.24502;0.09;285.985
bench3_3pass_streaming;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;1.87494;0.09;800.024
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;1.78227;0.09;841.622
bench5_3pass_optimized_read_skipping_partial_pss;4096;1024;4096;0;0;-0.5;0;1.03216;0.09;1453.26
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1024;4096;0;0;0;0;1.04082;0.09;1441.18
bench7_3pass_optimized_read_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;0.930304;0.09;1612.38
bench8_cub_flagged;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;3.63952;0.09;412.142
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;0.942384;0.09;1591.71
bench1_base_variant;512;1024;4096;0;0;0;0;47.7877;0.13;31.3888
bench2_base_variant_skipping;512;1024;4096;0;0;0;0;47.0975;0.13;31.8488
bench3_3pass_streaming;512;1024;4096;-0.5;-0.5;-0.5;-0.5;2.23832;0.13;670.146
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;1.95123;0.13;768.745
bench5_3pass_optimized_read_skipping_partial_pss;512;1024;4096;0;0;-0.5;0;1.3325;0.13;1125.71
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1024;4096;0;0;0;0;1.31483;0.13;1140.83
bench7_3pass_optimized_read_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;1.15171;0.13;1302.41
bench8_cub_flagged;512;1024;4096;-0.5;-0.5;-0.5;-0.5;3.6967;0.13;405.767
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1024;4096;0;-0.5;-0.5;0;1.16435;0.13;1288.27
bench1_base_variant;1024;1024;4096;0;0;0;0;49.9438;0.13;30.0338
bench2_base_variant_skipping;1024;1024;4096;0;0;0;0;43.2384;0.13;34.6914
bench3_3pass_streaming;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;2.16307;0.13;693.458
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;2.02323;0.13;741.388
bench5_3pass_optimized_read_skipping_partial_pss;1024;1024;4096;0;0;-0.5;0;1.39491;0.13;1075.34
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1024;4096;0;0;0;0;1.35243;0.13;1109.11
bench7_3pass_optimized_read_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;1.22371;0.13;1225.78
bench8_cub_flagged;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;3.68755;0.13;406.774
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;1.23741;0.13;1212.21
