benchmark;chunk_length;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity,throughput
bench1_base_variant;512;1024;4096;0;0;0;0;0.990336;0.01;1135.98
bench2_base_variant_skipping;512;1024;4096;0;0;0;0;0.975744;0.01;1152.97
bench3_3pass_streaming;512;1024;4096;-0.5;-0.5;-0.5;-0.5;0.859184;0.01;1309.38
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;0.654832;0.01;1718
bench5_3pass_optimized_read_skipping_partial_pss;512;1024;4096;0;0;-0.5;0;0.834384;0.01;1348.3
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1024;4096;0;0;0;0;0.799504;0.01;1407.12
bench7_3pass_optimized_read_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;0.674224;0.01;1668.58
bench8_cub_flagged;512;1024;4096;-0.5;-0.5;-0.5;-0.5;2.22019;0.01;506.713
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1024;4096;0;-0.5;-0.5;0;0.547536;0.01;2054.66
bench1_base_variant;1024;1024;4096;0;0;0;0;1.81682;0.01;619.215
bench2_base_variant_skipping;1024;1024;4096;0;0;0;0;1.81757;0.01;618.959
bench3_3pass_streaming;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;0.768496;0.01;1463.9
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;0.615248;0.01;1828.53
bench5_3pass_optimized_read_skipping_partial_pss;1024;1024;4096;0;0;-0.5;0;0.756448;0.01;1487.21
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1024;4096;0;0;0;0;0.730496;0.01;1540.05
bench7_3pass_optimized_read_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;0.628464;0.01;1790.08
bench8_cub_flagged;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;2.00469;0.01;561.185
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;0.517712;0.01;2173.02
bench1_base_variant;2048;1024;4096;0;0;0;0;1.87522;0.01;599.931
bench2_base_variant_skipping;2048;1024;4096;0;0;0;0;1.8829;0.01;597.484
bench3_3pass_streaming;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;0.759824;0.01;1480.61
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;0.610928;0.01;1841.46
bench5_3pass_optimized_read_skipping_partial_pss;2048;1024;4096;0;0;-0.5;0;0.738064;0.01;1524.26
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1024;4096;0;0;0;0;0.716832;0.01;1569.41
bench7_3pass_optimized_read_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;0.623792;0.01;1803.49
bench8_cub_flagged;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;2.00416;0.01;561.332
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;0.515456;0.01;2182.53
bench1_base_variant;4096;1024;4096;0;0;0;0;1.2743;0.01;882.835
bench2_base_variant_skipping;4096;1024;4096;0;0;0;0;1.2719;0.01;884.501
bench3_3pass_streaming;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;0.769808;0.01;1461.4
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;2.83048;0.01;397.459
bench5_3pass_optimized_read_skipping_partial_pss;4096;1024;4096;0;0;-0.5;0;0.733296;0.01;1534.17
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1024;4096;0;0;0;0;0.727696;0.01;1545.98
bench7_3pass_optimized_read_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;0.640048;0.01;1757.68
bench8_cub_flagged;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;1.99933;0.01;562.689
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;0.466224;0.01;2413
bench1_base_variant;512;1024;4096;0;0;0;0;4.4992;0.05;250.044
bench2_base_variant_skipping;512;1024;4096;0;0;0;0;4.47514;0.05;251.389
bench3_3pass_streaming;512;1024;4096;-0.5;-0.5;-0.5;-0.5;1.33608;0.05;842.015
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;1.44205;0.05;780.14
bench5_3pass_optimized_read_skipping_partial_pss;512;1024;4096;0;0;-0.5;0;1.59234;0.05;706.509
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1024;4096;0;0;0;0;1.56674;0.05;718.053
bench7_3pass_optimized_read_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;1.44606;0.05;777.974
bench8_cub_flagged;512;1024;4096;-0.5;-0.5;-0.5;-0.5;2.22808;0.05;504.919
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1024;4096;0;-0.5;-0.5;0;0.951872;0.05;1181.88
bench1_base_variant;1024;1024;4096;0;0;0;0;4.80034;0.05;234.359
bench2_base_variant_skipping;1024;1024;4096;0;0;0;0;4.80037;0.05;234.357
bench3_3pass_streaming;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;1.25635;0.05;895.45
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;1.42368;0.05;790.206
bench5_3pass_optimized_read_skipping_partial_pss;1024;1024;4096;0;0;-0.5;0;1.54957;0.05;726.009
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1024;4096;0;0;0;0;1.53227;0.05;734.204
bench7_3pass_optimized_read_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;1.42822;0.05;787.692
bench8_cub_flagged;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;2.12696;0.05;528.924
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;0.962048;0.05;1169.38
bench1_base_variant;2048;1024;4096;0;0;0;0;5.15251;0.05;218.34
bench2_base_variant_skipping;2048;1024;4096;0;0;0;0;5.14454;0.05;218.678
bench3_3pass_streaming;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;1.26349;0.05;890.392
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;1.42717;0.05;788.274
bench5_3pass_optimized_read_skipping_partial_pss;2048;1024;4096;0;0;-0.5;0;1.53838;0.05;731.287
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1024;4096;0;0;0;0;1.52454;0.05;737.926
bench7_3pass_optimized_read_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;1.42958;0.05;786.942
bench8_cub_flagged;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;2.12861;0.05;528.514
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;0.962672;0.05;1168.62
bench1_base_variant;4096;1024;4096;0;0;0;0;5.326;0.05;211.228
bench2_base_variant_skipping;4096;1024;4096;0;0;0;0;5.32941;0.05;211.093
bench3_3pass_streaming;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;1.25725;0.05;894.812
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;1.60403;0.05;701.358
bench5_3pass_optimized_read_skipping_partial_pss;4096;1024;4096;0;0;-0.5;0;1.70181;0.05;661.062
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1024;4096;0;0;0;0;1.69747;0.05;662.75
bench7_3pass_optimized_read_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;1.6103;0.05;698.626
bench8_cub_flagged;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;2.12141;0.05;530.308
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;0.932576;0.05;1206.34
bench1_base_variant;512;1024;4096;0;0;0;0;7.01661;0.09;160.334
bench2_base_variant_skipping;512;1024;4096;0;0;0;0;6.94592;0.09;161.966
bench3_3pass_streaming;512;1024;4096;-0.5;-0.5;-0.5;-0.5;1.74496;0.09;644.714
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;1.63886;0.09;686.451
bench5_3pass_optimized_read_skipping_partial_pss;512;1024;4096;0;0;-0.5;0;1.78706;0.09;629.527
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1024;4096;0;0;0;0;1.75536;0.09;640.894
bench7_3pass_optimized_read_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;1.63726;0.09;687.122
bench8_cub_flagged;512;1024;4096;-0.5;-0.5;-0.5;-0.5;2.29986;0.09;489.161
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1024;4096;0;-0.5;-0.5;0;1.35862;0.09;828.044
bench1_base_variant;1024;1024;4096;0;0;0;0;7.32054;0.09;153.677
bench2_base_variant_skipping;1024;1024;4096;0;0;0;0;7.32819;0.09;153.517
bench3_3pass_streaming;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;1.68234;0.09;668.713
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;1.60522;0.09;700.84
bench5_3pass_optimized_read_skipping_partial_pss;1024;1024;4096;0;0;-0.5;0;1.72926;0.09;650.566
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1024;4096;0;0;0;0;1.71141;0.09;657.353
bench7_3pass_optimized_read_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;1.60882;0.09;699.272
bench8_cub_flagged;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;2.20867;0.09;509.356
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;1.36992;0.09;821.216
bench1_base_variant;2048;1024;4096;0;0;0;0;7.88696;0.09;142.641
bench2_base_variant_skipping;2048;1024;4096;0;0;0;0;7.88323;0.09;142.708
bench3_3pass_streaming;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;1.6849;0.09;667.697
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;1.60875;0.09;699.3
bench5_3pass_optimized_read_skipping_partial_pss;2048;1024;4096;0;0;-0.5;0;1.72403;0.09;652.54
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1024;4096;0;0;0;0;1.70491;0.09;659.858
bench7_3pass_optimized_read_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;1.60963;0.09;698.917
bench8_cub_flagged;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;2.21342;0.09;508.262
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;1.36914;0.09;821.686
bench1_base_variant;4096;1024;4096;0;0;0;0;7.91138;0.09;142.2
bench2_base_variant_skipping;4096;1024;4096;0;0;0;0;7.9037;0.09;142.338
bench3_3pass_streaming;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;1.67854;0.09;670.224
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;1.94213;0.09;579.262
bench5_3pass_optimized_read_skipping_partial_pss;4096;1024;4096;0;0;-0.5;0;2.03411;0.09;553.067
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1024;4096;0;0;0;0;2.03507;0.09;552.806
bench7_3pass_optimized_read_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;1.94622;0.09;578.042
bench8_cub_flagged;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;2.20219;0.09;510.855
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;1.37082;0.09;820.679
bench1_base_variant;512;1024;4096;0;0;0;0;9.59899;0.13;117.2
bench2_base_variant_skipping;512;1024;4096;0;0;0;0;9.57968;0.13;117.436
bench3_3pass_streaming;512;1024;4096;-0.5;-0.5;-0.5;-0.5;2.03128;0.13;553.838
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;1.80381;0.13;623.681
bench5_3pass_optimized_read_skipping_partial_pss;512;1024;4096;0;0;-0.5;0;1.94392;0.13;578.728
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1024;4096;0;0;0;0;1.89877;0.13;592.49
bench7_3pass_optimized_read_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;1.78461;0.13;630.391
bench8_cub_flagged;512;1024;4096;-0.5;-0.5;-0.5;-0.5;2.28819;0.13;491.655
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1024;4096;0;-0.5;-0.5;0;1.66891;0.13;674.092
bench1_base_variant;1024;1024;4096;0;0;0;0;9.96208;0.13;112.928
bench2_base_variant_skipping;1024;1024;4096;0;0;0;0;9.96488;0.13;112.896
bench3_3pass_streaming;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;1.97717;0.13;568.996
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;1.79885;0.13;625.4
bench5_3pass_optimized_read_skipping_partial_pss;1024;1024;4096;0;0;-0.5;0;1.91621;0.13;587.097
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1024;4096;0;0;0;0;1.90779;0.13;589.687
bench7_3pass_optimized_read_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;1.80942;0.13;621.745
bench8_cub_flagged;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;2.27598;0.13;494.292
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;1.69565;0.13;663.463
bench1_base_variant;2048;1024;4096;0;0;0;0;10.5983;0.13;106.149
bench2_base_variant_skipping;2048;1024;4096;0;0;0;0;10.6406;0.13;105.727
