benchmark;chunk_length;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity,throughput
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;0.852624;0.05;1466.06
bench5_3pass_optimized_read_skipping_partial_pss;2048;1024;4096;0;0;-0.5;0;0.531744;0.05;2350.76
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1024;4096;0;0;0;0;0.504592;0.05;2477.25
bench7_3pass_optimized_read_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;0.39824;0.05;3138.81
bench8_cub_flagged;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;2.18435;0.05;572.252
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;0.404896;0.05;3087.21
bench1_base_variant;4096;1024;4096;0;0;0;0;6.12234;0.05;204.17
bench2_base_variant_skipping;4096;1024;4096;0;0;0;0;4.28317;0.05;291.84
bench3_3pass_streaming;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;1.05131;0.05;1188.99
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;0.852912;0.05;1465.57
bench5_3pass_optimized_read_skipping_partial_pss;4096;1024;4096;0;0;-0.5;0;0.513792;0.05;2432.89
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1024;4096;0;0;0;0;0.494224;0.05;2529.22
bench7_3pass_optimized_read_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;0.402064;0.05;3108.96
bench8_cub_flagged;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;2.1827;0.05;572.684
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;0.407264;0.05;3069.26
bench1_base_variant;512;1024;4096;0;0;0;0;12.3357;0.09;101.332
bench2_base_variant_skipping;512;1024;4096;0;0;0;0;11.9784;0.09;104.354
bench3_3pass_streaming;512;1024;4096;-0.5;-0.5;-0.5;-0.5;1.31954;0.09;947.303
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;1.02918;0.09;1214.55
bench5_3pass_optimized_read_skipping_partial_pss;512;1024;4096;0;0;-0.5;0;0.748304;0.09;1670.44
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1024;4096;0;0;0;0;0.70664;0.09;1768.93
bench7_3pass_optimized_read_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;0.571232;0.09;2188.25
bench8_cub_flagged;512;1024;4096;-0.5;-0.5;-0.5;-0.5;2.35605;0.09;530.549
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1024;4096;0;-0.5;-0.5;0;0.577456;0.09;2164.67
bench1_base_variant;1024;1024;4096;0;0;0;0;12.3897;0.09;100.891
bench2_base_variant_skipping;1024;1024;4096;0;0;0;0;5.28974;0.09;236.306
bench3_3pass_streaming;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;1.25568;0.09;995.477
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;1.05006;0.09;1190.4
bench5_3pass_optimized_read_skipping_partial_pss;1024;1024;4096;0;0;-0.5;0;0.762352;0.09;1639.66
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1024;4096;0;0;0;0;0.719792;0.09;1736.61
bench7_3pass_optimized_read_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;0.6088;0.09;2053.22
bench8_cub_flagged;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;2.25501;0.09;554.322
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;0.598976;0.09;2086.9
bench1_base_variant;2048;1024;4096;0;0;0;0;6.95256;0.09;179.79
bench2_base_variant_skipping;2048;1024;4096;0;0;0;0;2.34555;0.09;532.924
bench3_3pass_streaming;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;1.22624;0.09;1019.38
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;1.01429;0.09;1232.39
bench5_3pass_optimized_read_skipping_partial_pss;2048;1024;4096;0;0;-0.5;0;0.717024;0.09;1743.32
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1024;4096;0;0;0;0;0.6828;0.09;1830.7
bench7_3pass_optimized_read_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;0.586544;0.09;2131.13
bench8_cub_flagged;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;2.25264;0.09;554.904
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;0.589984;0.09;2118.7
bench1_base_variant;4096;1024;4096;0;0;0;0;6.30357;0.09;198.3
bench2_base_variant_skipping;4096;1024;4096;0;0;0;0;4.2684;0.09;292.85
bench3_3pass_streaming;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;1.23099;0.09;1015.44
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;1.01363;0.09;1233.19
