benchmark;chunk_length;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity,throughput
bench5_3pass_optimized_read_skipping_partial_pss;2048;1024;4096;0;0;-0.5;0;2.73845;0.05;456.463
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1024;4096;0;0;0;0;2.7235;0.05;458.968
bench7_3pass_optimized_read_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;2.62483;0.05;476.221
bench8_cub_flagged;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;2.26781;0.05;551.193
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;1.52403;0.05;820.193
bench1_base_variant;4096;1024;4096;0;0;0;0;12.0676;0.05;103.583
bench2_base_variant_skipping;4096;1024;4096;0;0;0;0;12.0764;0.05;103.507
bench3_3pass_streaming;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;2.20072;0.05;567.996
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;2.62598;0.05;476.012
bench5_3pass_optimized_read_skipping_partial_pss;4096;1024;4096;0;0;-0.5;0;2.73061;0.05;457.773
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1024;4096;0;0;0;0;2.72285;0.05;459.078
bench7_3pass_optimized_read_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;2.63067;0.05;475.164
bench8_cub_flagged;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;2.26046;0.05;552.984
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;1.52901;0.05;817.523
bench1_base_variant;512;1024;4096;0;0;0;0;13.2523;0.09;94.3234
bench2_base_variant_skipping;512;1024;4096;0;0;0;0;13.2121;0.09;94.6103
bench3_3pass_streaming;512;1024;4096;-0.5;-0.5;-0.5;-0.5;2.76163;0.09;452.631
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;2.99757;0.09;417.005
bench5_3pass_optimized_read_skipping_partial_pss;512;1024;4096;0;0;-0.5;0;3.1973;0.09;390.955
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1024;4096;0;0;0;0;3.16162;0.09;395.367
bench7_3pass_optimized_read_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;3.02173;0.09;413.671
bench8_cub_flagged;512;1024;4096;-0.5;-0.5;-0.5;-0.5;2.47373;0.09;505.31
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1024;4096;0;-0.5;-0.5;0;1.99563;0.09;626.368
bench1_base_variant;1024;1024;4096;0;0;0;0;13.9498;0.09;89.6072
bench2_base_variant_skipping;1024;1024;4096;0;0;0;0;13.9329;0.09;89.7157
bench3_3pass_streaming;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;2.62462;0.09;476.259
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;2.96306;0.09;421.862
bench5_3pass_optimized_read_skipping_partial_pss;1024;1024;4096;0;0;-0.5;0;3.08381;0.09;405.343
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1024;4096;0;0;0;0;3.05851;0.09;408.695
bench7_3pass_optimized_read_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;2.95387;0.09;423.173
bench8_cub_flagged;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;2.34102;0.09;533.954
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;2.0255;0.09;617.13
bench1_base_variant;2048;1024;4096;0;0;0;0;15.3984;0.09;81.1772
