benchmark;chunk_length;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity,throughput
bench5_3pass_optimized_read_skipping_partial_pss;2048;1024;4096;0;0;-0.5;0;4.94045;0.05;303.616
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1024;4096;0;0;0;0;4.92642;0.05;304.481
bench7_3pass_optimized_read_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;4.82408;0.05;310.94
bench8_cub_flagged;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;3.70552;0.05;404.801
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;2.24803;0.05;667.25
bench1_base_variant;4096;1024;4096;0;0;0;0;23.7906;0.05;63.0501
bench2_base_variant_skipping;4096;1024;4096;0;0;0;0;23.8082;0.05;63.0034
bench3_3pass_streaming;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;3.17555;0.05;472.359
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;4.84008;0.05;309.912
bench5_3pass_optimized_read_skipping_partial_pss;4096;1024;4096;0;0;-0.5;0;4.94312;0.05;303.452
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1024;4096;0;0;0;0;4.92901;0.05;304.321
bench7_3pass_optimized_read_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;4.83128;0.05;310.477
bench8_cub_flagged;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;3.70088;0.05;405.309
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;2.24834;0.05;667.16
bench1_base_variant;512;1024;4096;0;0;0;0;23.6017;0.09;63.5546
bench2_base_variant_skipping;512;1024;4096;0;0;0;0;23.5865;0.09;63.5957
bench3_3pass_streaming;512;1024;4096;-0.5;-0.5;-0.5;-0.5;3.69771;0.09;405.656
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;5.5411;0.09;270.704
bench5_3pass_optimized_read_skipping_partial_pss;512;1024;4096;0;0;-0.5;0;5.79707;0.09;258.751
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1024;4096;0;0;0;0;5.76144;0.09;260.352
bench7_3pass_optimized_read_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;5.5733;0.09;269.141
bench8_cub_flagged;512;1024;4096;-0.5;-0.5;-0.5;-0.5;4.19678;0.09;357.417
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1024;4096;0;-0.5;-0.5;0;2.59685;0.09;577.623
bench1_base_variant;1024;1024;4096;0;0;0;0;26.9868;0.09;55.5828
bench2_base_variant_skipping;1024;1024;4096;0;0;0;0;26.9533;0.09;55.6519
bench3_3pass_streaming;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;3.52595;0.09;425.417
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;5.45821;0.09;274.815
bench5_3pass_optimized_read_skipping_partial_pss;1024;1024;4096;0;0;-0.5;0;5.66834;0.09;264.628
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1024;4096;0;0;0;0;5.63253;0.09;266.31
bench7_3pass_optimized_read_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;5.4977;0.09;272.842
bench8_cub_flagged;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;3.77043;0.09;397.832
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;2.63944;0.09;568.302
bench1_base_variant;2048;1024;4096;0;0;0;0;30.1371;0.09;49.7726
bench2_base_variant_skipping;2048;1024;4096;0;0;0;0;30.0501;0.09;49.9167
bench3_3pass_streaming;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;3.53853;0.09;423.905
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;5.44541;0.09;275.461
bench5_3pass_optimized_read_skipping_partial_pss;2048;1024;4096;0;0;-0.5;0;5.53032;0.09;271.232
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1024;4096;0;0;0;0;5.50234;0.09;272.612
bench7_3pass_optimized_read_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;5.39546;0.09;278.012
bench8_cub_flagged;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;3.76418;0.09;398.494
