benchmark;chunk_length;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity,throughput
bench5_3pass_optimized_read_skipping_partial_pss;2048;1024;4096;0;0;-0.5;0;2.73754;0.05;456.615
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1024;4096;0;0;0;0;2.72461;0.05;458.782
bench7_3pass_optimized_read_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;2.62645;0.05;475.928
bench8_cub_flagged;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;2.26131;0.05;552.776
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;1.5269;0.05;818.654
bench1_base_variant;4096;1024;4096;0;0;0;0;12.0728;0.05;103.539
bench2_base_variant_skipping;4096;1024;4096;0;0;0;0;12.0753;0.05;103.517
bench3_3pass_streaming;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;2.19997;0.05;568.19
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;2.6253;0.05;476.137
bench5_3pass_optimized_read_skipping_partial_pss;4096;1024;4096;0;0;-0.5;0;2.73414;0.05;457.181
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1024;4096;0;0;0;0;2.72144;0.05;459.316
bench7_3pass_optimized_read_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;2.62387;0.05;476.395
bench8_cub_flagged;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;2.2639;0.05;552.143
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;1.52882;0.05;817.626
bench1_base_variant;512;1024;4096;0;0;0;0;13.3336;0.09;93.7482
bench2_base_variant_skipping;512;1024;4096;0;0;0;0;13.3154;0.09;93.8763
bench3_3pass_streaming;512;1024;4096;-0.5;-0.5;-0.5;-0.5;2.78352;0.09;449.072
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;3.07222;0.09;406.871
bench5_3pass_optimized_read_skipping_partial_pss;512;1024;4096;0;0;-0.5;0;3.28594;0.09;380.409
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1024;4096;0;0;0;0;3.18499;0.09;392.466
bench7_3pass_optimized_read_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;3.03072;0.09;412.443
bench8_cub_flagged;512;1024;4096;-0.5;-0.5;-0.5;-0.5;2.4913;0.09;501.747
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1024;4096;0;-0.5;-0.5;0;1.99691;0.09;625.966
bench1_base_variant;1024;1024;4096;0;0;0;0;13.9418;0.09;89.6584
