benchmark;chunk_length;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity,throughput
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;2.81538;0.05;710.385
bench5_3pass_optimized_read_skipping_partial_pss;2048;1024;4096;0;0;-0.5;0;1.19872;0.05;1668.45
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1024;4096;0;0;0;0;1.21184;0.05;1650.38
bench7_3pass_optimized_read_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;1.08243;0.05;1847.69
bench8_cub_flagged;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;6.74986;0.05;296.303
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;1.11571;0.05;1792.58
bench1_base_variant;4096;1024;4096;0;0;0;0;34.9838;0.05;57.1694
bench2_base_variant_skipping;4096;1024;4096;0;0;0;0;5.39629;0.05;370.625
bench3_3pass_streaming;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;2.92056;0.05;684.8
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;2.81166;0.05;711.323
bench5_3pass_optimized_read_skipping_partial_pss;4096;1024;4096;0;0;-0.5;0;1.17134;0.05;1707.44
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1024;4096;0;0;0;0;1.17702;0.05;1699.2
bench7_3pass_optimized_read_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;1.06947;0.05;1870.08
bench8_cub_flagged;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;6.74858;0.05;296.359
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;1.10613;0.05;1808.11
bench1_base_variant;512;1024;4096;0;0;0;0;50.08;0.09;39.9361
bench2_base_variant_skipping;512;1024;4096;0;0;0;0;48.3141;0.09;41.3958
