benchmark;chunk_length;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity,throughput
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;0.567664;0.05;1981.81
bench5_3pass_optimized_read_skipping_partial_pss;2048;1024;4096;0;0;-0.5;0;0.453408;0.05;2481.21
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1024;4096;0;0;0;0;0.418096;0.05;2690.77
bench7_3pass_optimized_read_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;0.315664;0.05;3563.92
bench8_cub_flagged;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;2.16803;0.05;518.904
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;0.31584;0.05;3561.93
bench1_base_variant;4096;1024;4096;0;0;0;0;4.36603;0.05;257.671
bench2_base_variant_skipping;4096;1024;4096;0;0;0;0;4.23725;0.05;265.503
bench3_3pass_streaming;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;0.593728;0.05;1894.81
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;0.489552;0.05;2298.02
bench5_3pass_optimized_read_skipping_partial_pss;4096;1024;4096;0;0;-0.5;0;0.380848;0.05;2953.93
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1024;4096;0;0;0;0;0.380416;0.05;2957.29
bench7_3pass_optimized_read_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;0.29488;0.05;3815.11
bench8_cub_flagged;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;2.04949;0.05;548.918
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;0.294656;0.05;3818.01
bench1_base_variant;512;1024;4096;0;0;0;0;3.29549;0.09;341.376
bench2_base_variant_skipping;512;1024;4096;0;0;0;0;2.9747;0.09;378.189
bench3_3pass_streaming;512;1024;4096;-0.5;-0.5;-0.5;-0.5;0.789312;0.09;1425.29
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;0.681504;0.09;1650.76
bench5_3pass_optimized_read_skipping_partial_pss;512;1024;4096;0;0;-0.5;0;0.620352;0.09;1813.49
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1024;4096;0;0;0;0;0.580144;0.09;1939.17
bench7_3pass_optimized_read_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;0.46232;0.09;2433.38
bench8_cub_flagged;512;1024;4096;-0.5;-0.5;-0.5;-0.5;2.15624;0.09;521.742
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1024;4096;0;-0.5;-0.5;0;0.452496;0.09;2486.21
bench1_base_variant;1024;1024;4096;0;0;0;0;3.24357;0.09;346.84
bench2_base_variant_skipping;1024;1024;4096;0;0;0;0;1.31058;0.09;858.401
bench3_3pass_streaming;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;0.75984;0.09;1480.57
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;0.678176;0.09;1658.86
bench5_3pass_optimized_read_skipping_partial_pss;1024;1024;4096;0;0;-0.5;0;0.609552;0.09;1845.62
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1024;4096;0;0;0;0;0.575696;0.09;1954.16
bench7_3pass_optimized_read_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;0.473632;0.09;2375.26
bench8_cub_flagged;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;2.15525;0.09;521.982
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;0.473952;0.09;2373.66
bench1_base_variant;2048;1024;4096;0;0;0;0;3.12544;0.09;359.949
bench2_base_variant_skipping;2048;1024;4096;0;0;0;0;2.33739;0.09;481.306
bench3_3pass_streaming;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;0.752928;0.09;1494.17
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;0.670048;0.09;1678.98
bench5_3pass_optimized_read_skipping_partial_pss;2048;1024;4096;0;0;-0.5;0;0.590592;0.09;1904.87
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1024;4096;0;0;0;0;0.560976;0.09;2005.43
bench7_3pass_optimized_read_skipping_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;0.466608;0.09;2411.02
bench8_cub_flagged;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;2.13453;0.09;527.049
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1024;4096;0;-0.5;-0.5;0;0.467328;0.09;2407.3
bench1_base_variant;4096;1024;4096;0;0;0;0;4.36061;0.09;257.992
bench2_base_variant_skipping;4096;1024;4096;0;0;0;0;4.27477;0.09;263.172
bench3_3pass_streaming;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;0.751616;0.09;1496.77
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;0.635616;0.09;1769.94
bench5_3pass_optimized_read_skipping_partial_pss;4096;1024;4096;0;0;-0.5;0;0.540512;0.09;2081.36
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1024;4096;0;0;0;0;0.544736;0.09;2065.22
bench7_3pass_optimized_read_skipping_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;0.459856;0.09;2446.42
bench8_cub_flagged;4096;1024;4096;-0.5;-0.5;-0.5;-0.5;2.12352;0.09;529.781
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1024;4096;0;-0.5;-0.5;0;0.462032;0.09;2434.9
bench1_base_variant;512;1024;4096;0;0;0;0;8.84741;0.13;127.156
bench2_base_variant_skipping;512;1024;4096;0;0;0;0;8.57976;0.13;131.123
bench3_3pass_streaming;512;1024;4096;-0.5;-0.5;-0.5;-0.5;0.969216;0.13;1160.73
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;0.86072;0.13;1307.05
bench5_3pass_optimized_read_skipping_partial_pss;512;1024;4096;0;0;-0.5;0;0.790976;0.13;1422.29
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1024;4096;0;0;0;0;0.753792;0.13;1492.45
bench7_3pass_optimized_read_skipping_cub_pss;512;1024;4096;0;-0.5;-0.5;0;0.627808;0.13;1791.95
bench8_cub_flagged;512;1024;4096;-0.5;-0.5;-0.5;-0.5;2.32658;0.13;483.543
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1024;4096;0;-0.5;-0.5;0;0.621216;0.13;1810.96
bench1_base_variant;1024;1024;4096;0;0;0;0;4.21418;0.13;266.956
bench2_base_variant_skipping;1024;1024;4096;0;0;0;0;1.92336;0.13;584.914
bench3_3pass_streaming;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;0.901552;0.13;1247.85
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;0.817328;0.13;1376.44
bench5_3pass_optimized_read_skipping_partial_pss;1024;1024;4096;0;0;-0.5;0;0.76256;0.13;1475.29
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1024;4096;0;0;0;0;0.732448;0.13;1535.95
bench7_3pass_optimized_read_skipping_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;0.63152;0.13;1781.42
bench8_cub_flagged;1024;1024;4096;-0.5;-0.5;-0.5;-0.5;2.20413;0.13;510.406
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1024;4096;0;-0.5;-0.5;0;0.631424;0.13;1781.69
bench1_base_variant;2048;1024;4096;0;0;0;0;3.28158;0.13;342.822
bench2_base_variant_skipping;2048;1024;4096;0;0;0;0;2.27906;0.13;493.625
bench3_3pass_streaming;2048;1024;4096;-0.5;-0.5;-0.5;-0.5;0.900368;0.13;1249.49
