benchmark;chunk_length;cluster;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity,throughput
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;1.91027;0.05;588.921
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.428032;0.05;2628.31
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.45312;0.05;2482.79
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;0.355328;0.05;3166.09
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;0.332768;0.05;3380.73
bench7_3pass_optimized_read_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.237472;0.05;4737.4
bench8_cub_flagged;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.87546;0.05;599.854
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.23808;0.05;4725.3
bench1_base_variant;4096;1;1024;4096;0;0;0;0;3.42523;0.05;328.445
bench2_base_variant_skipping;4096;1;1024;4096;0;0;0;0;3.43757;0.05;327.266
bench3_3pass_streaming;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.416464;0.05;2701.31
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.35736;0.05;3148.09
bench5_3pass_optimized_read_skipping_partial_pss;4096;1;1024;4096;0;0;-0.5;0;0.309056;0.05;3640.12
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1;1024;4096;0;0;0;0;0.31384;0.05;3584.63
bench7_3pass_optimized_read_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.228864;0.05;4915.58
bench8_cub_flagged;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.85445;0.05;606.65
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.2268;0.05;4960.32
bench1_base_variant;512;1;1024;4096;0;0;0;0;2.21798;0.09;507.217
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;1.82413;0.09;616.733
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.549376;0.09;2047.78
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.548288;0.09;2051.84
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;0.499712;0.09;2251.3
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;0.480256;0.09;2342.5
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.367616;0.09;3060.26
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.95522;0.09;575.384
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.365056;0.09;3081.72
bench1_base_variant;1024;1;1024;4096;0;0;0;0;1.96147;0.09;573.549
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;1.05421;0.09;1067.15
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.543328;0.09;2070.57
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.544256;0.09;2067.04
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;0.48384;0.09;2325.15
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;0.462848;0.09;2430.6
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.361904;0.09;3108.56
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.93382;0.09;581.749
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.357376;0.09;3147.95
bench1_base_variant;2048;1;1024;4096;0;0;0;0;2.03666;0.09;552.376
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;1.80666;0.09;622.697
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.5376;0.09;2092.63
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.537008;0.09;2094.94
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;0.467872;0.09;2404.5
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;0.448512;0.09;2508.29
bench7_3pass_optimized_read_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.352256;0.09;3193.7
bench8_cub_flagged;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.91027;0.09;588.921
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.35112;0.09;3204.03
bench1_base_variant;4096;1;1024;4096;0;0;0;0;3.44773;0.09;326.302
bench2_base_variant_skipping;4096;1;1024;4096;0;0;0;0;3.47443;0.09;323.794
bench3_3pass_streaming;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.536576;0.09;2096.63
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.525712;0.09;2139.95
bench5_3pass_optimized_read_skipping_partial_pss;4096;1;1024;4096;0;0;-0.5;0;0.437072;0.09;2573.95
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1;1024;4096;0;0;0;0;0.441856;0.09;2546.08
bench7_3pass_optimized_read_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.353792;0.09;3179.83
bench8_cub_flagged;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.90566;0.09;590.345
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.355216;0.09;3167.09
bench1_base_variant;512;1;1024;4096;0;0;0;0;5.44506;0.13;206.609
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;4.41037;0.13;255.081
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.680448;0.13;1653.32
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.665088;0.13;1691.51
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;0.626688;0.13;1795.15
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;0.605152;0.13;1859.04
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.4864;0.13;2312.91
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.00051;0.13;562.356
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.48736;0.13;2308.36
bench1_base_variant;1024;1;1024;4096;0;0;0;0;3.18771;0.13;352.918
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;1.97786;0.13;568.798
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.676272;0.13;1663.53
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.665056;0.13;1691.59
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;0.609328;0.13;1846.3
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;0.587744;0.13;1914.1
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.482816;0.13;2330.08
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.97837;0.13;568.651
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.4828;0.13;2330.16
bench1_base_variant;2048;1;1024;4096;0;0;0;0;2.08589;0.13;539.339
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;1.7749;0.13;633.84
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.66464;0.13;1692.65
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.649824;0.13;1731.24
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;0.587776;0.13;1913.99
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;0.575488;0.13;1954.86
bench7_3pass_optimized_read_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.479744;0.13;2345
bench8_cub_flagged;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.96699;0.13;571.939
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.478208;0.13;2352.53
bench1_base_variant;4096;1;1024;4096;0;0;0;0;3.44627;0.13;326.44
bench2_base_variant_skipping;4096;1;1024;4096;0;0;0;0;3.47597;0.13;323.651
bench3_3pass_streaming;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.665104;0.13;1691.46
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.627696;0.13;1792.27
bench5_3pass_optimized_read_skipping_partial_pss;4096;1;1024;4096;0;0;-0.5;0;0.568304;0.13;1979.57
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1;1024;4096;0;0;0;0;0.575408;0.13;1955.13
bench7_3pass_optimized_read_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.486912;0.13;2310.48
bench8_cub_flagged;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.96915;0.13;571.312
