benchmark;chunk_length;cluster;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity,throughput
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;7.08963;0.05;176.314
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.07603;0.05;1161.68
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;1.3803;0.05;905.598
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;1.49963;0.05;833.538
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;1.49544;0.05;835.874
bench7_3pass_optimized_read_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;1.39213;0.05;897.906
bench8_cub_flagged;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.89594;0.05;659.305
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.753664;0.05;1658.56
bench1_base_variant;4096;1;1024;4096;0;0;0;0;6.8095;0.05;183.567
bench2_base_variant_skipping;4096;1;1024;4096;0;0;0;0;6.79678;0.05;183.911
bench3_3pass_streaming;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.0752;0.05;1162.57
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;1.38688;0.05;901.304
bench5_3pass_optimized_read_skipping_partial_pss;4096;1;1024;4096;0;0;-0.5;0;1.49862;0.05;834.099
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1;1024;4096;0;0;0;0;1.49248;0.05;837.532
bench7_3pass_optimized_read_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;1.39563;0.05;895.652
bench8_cub_flagged;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.88723;0.05;662.346
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.759808;0.05;1645.15
bench1_base_variant;512;1;1024;4096;0;0;0;0;8.2012;0.09;152.417
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;8.18829;0.09;152.657
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.54555;0.09;491.053
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;1.62293;0.09;770.213
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;1.78677;0.09;699.587
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;1.7817;0.09;701.579
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;1.65171;0.09;756.791
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.98451;0.09;629.878
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;1.10387;0.09;1132.38
bench1_base_variant;1024;1;1024;4096;0;0;0;0;9.23962;0.09;135.287
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;9.22981;0.09;135.431
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.40144;0.09;891.94
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;1.62048;0.09;771.376
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;1.7577;0.09;711.158
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;1.75002;0.09;714.279
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;1.63827;0.09;762.999
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.96187;0.09;637.147
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;1.10746;0.09;1128.71
bench1_base_variant;2048;1;1024;4096;0;0;0;0;10.476;0.09;119.32
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;10.4891;0.09;119.171
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.39264;0.09;897.576
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;1.60666;0.09;778.013
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;1.73158;0.09;721.882
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;1.72288;0.09;725.529
bench7_3pass_optimized_read_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;1.61936;0.09;771.91
bench8_cub_flagged;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.93178;0.09;647.073
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;1.09934;0.09;1137.04
bench1_base_variant;4096;1;1024;4096;0;0;0;0;10.0777;0.09;124.036
bench2_base_variant_skipping;4096;1;1024;4096;0;0;0;0;10.0725;0.09;124.101
bench3_3pass_streaming;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.39325;0.09;897.184
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;1.6133;0.09;774.811
bench5_3pass_optimized_read_skipping_partial_pss;4096;1;1024;4096;0;0;-0.5;0;1.73202;0.09;721.702
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1;1024;4096;0;0;0;0;1.71827;0.09;727.475
bench7_3pass_optimized_read_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;1.62509;0.09;769.189
bench8_cub_flagged;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.936;0.09;645.661
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;1.10621;0.09;1129.99
bench1_base_variant;512;1;1024;4096;0;0;0;0;11.6628;0.13;107.179
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;11.6608;0.13;107.197
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.69307;0.13;738.303
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;1.71827;0.13;727.475
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;1.87597;0.13;666.323
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;1.87443;0.13;666.869
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;1.74541;0.13;716.165
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.02394;0.13;617.608
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;1.39008;0.13;899.229
bench1_base_variant;1024;1;1024;4096;0;0;0;0;12.8184;0.13;97.5158
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;12.8093;0.13;97.5853
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.664;0.13;751.202
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;1.7152;0.13;728.778
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;1.85293;0.13;674.608
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;1.84627;0.13;677.04
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;1.73517;0.13;720.391
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;2.00787;0.13;622.55
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;1.38957;0.13;899.56
bench1_base_variant;2048;1;1024;4096;0;0;0;0;13.8864;0.13;90.016
