benchmark;chunk_length;cluster;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity,throughput
bench2_base_variant_skipping;2048;2;1024;4096;0;0;0;0;2.5769;0.01;582.096
bench3_3pass_streaming;2048;2;1024;4096;-0.5;-0.5;-0.5;-0.5;0.54928;0.01;2730.85
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;2;1024;4096;0;-0.5;-0.5;0;1.12435;0.01;1334.1
bench5_3pass_optimized_read_skipping_partial_pss;2048;2;1024;4096;0;0;-0.5;0;0.396288;0.01;3785.13
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;2;1024;4096;0;0;0;0;0.393632;0.01;3810.67
bench7_3pass_optimized_read_skipping_cub_pss;2048;2;1024;4096;0;-0.5;-0.5;0;0.281392;0.01;5330.64
bench8_cub_flagged;2048;2;1024;4096;-0.5;-0.5;-0.5;-0.5;3.2204;0.01;465.781
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;2;1024;4096;0;-0.5;-0.5;0;0.29384;0.01;5104.82
bench1_base_variant;4096;2;1024;4096;0;0;0;0;7.68922;0.01;195.078
bench2_base_variant_skipping;4096;2;1024;4096;0;0;0;0;3.84922;0.01;389.69
bench3_3pass_streaming;4096;2;1024;4096;-0.5;-0.5;-0.5;-0.5;0.547744;0.01;2738.51
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;2;1024;4096;0;-0.5;-0.5;0;1.13448;0.01;1322.19
bench5_3pass_optimized_read_skipping_partial_pss;4096;2;1024;4096;0;0;-0.5;0;0.391552;0.01;3830.91
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;2;1024;4096;0;0;0;0;0.385024;0.01;3895.86
bench7_3pass_optimized_read_skipping_cub_pss;4096;2;1024;4096;0;-0.5;-0.5;0;0.28152;0.01;5328.22
bench8_cub_flagged;4096;2;1024;4096;-0.5;-0.5;-0.5;-0.5;3.22086;0.01;465.714
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;2;1024;4096;0;-0.5;-0.5;0;0.295344;0.01;5078.82
bench1_base_variant;512;4;1024;4096;0;0;0;0;1.14739;0.01;1307.31
bench2_base_variant_skipping;512;4;1024;4096;0;0;0;0;0.946176;0.01;1585.33
bench3_3pass_streaming;512;4;1024;4096;-0.5;-0.5;-0.5;-0.5;0.609296;0.01;2461.86
bench4_3pass_optimized_read_non_skipping_cub_pss;512;4;1024;4096;0;-0.5;-0.5;0;1.15558;0.01;1298.05
bench5_3pass_optimized_read_skipping_partial_pss;512;4;1024;4096;0;0;-0.5;0;0.475136;0.01;3156.99
bench6_3pass_optimized_read_skipping_two_phase_pss;512;4;1024;4096;0;0;0;0;0.489952;0.01;3061.52
