benchmark;chunk_length;cluster;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity,throughput
bench1_base_variant;512;1;1024;4096;0;0;0;0;2.48525;0.01;804.749
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;1.17082;0.01;1708.21
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.00602;0.01;1988.04
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;2.2809;0.01;876.848
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;0.726512;0.01;2752.88
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;0.78848;0.01;2536.53
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.495616;0.01;4035.38
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;6.35347;0.01;314.789
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.523264;0.01;3822.16
bench1_base_variant;1024;1;1024;4096;0;0;0;0;5.14202;0.01;388.953
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;1.41517;0.01;1413.26
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.01474;0.01;1970.96
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;2.33269;0.01;857.38
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;0.65136;0.01;3070.5
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;0.692912;0.01;2886.37
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.615344;0.01;3250.21
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;6.23104;0.01;320.974
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.539648;0.01;3706.12
bench1_base_variant;2048;1;1024;4096;0;0;0;0;10.0106;0.01;199.788
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;2.18419;0.01;915.67
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.95648;0.01;2091
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;2.18982;0.01;913.315
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;0.593408;0.01;3370.36
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;0.609792;0.01;3279.81
