benchmark;chunk_length;cluster;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity,throughput
bench2_base_variant_skipping;2048;2;1024;4096;0;0;0;0;1.18067;0.01;952.847
bench3_3pass_streaming;2048;2;1024;4096;-0.5;-0.5;-0.5;-0.5;0.288688;0.01;3896.94
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;2;1024;4096;0;-0.5;-0.5;0;0.320352;0.01;3511.76
bench5_3pass_optimized_read_skipping_partial_pss;2048;2;1024;4096;0;0;-0.5;0;0.208384;0.01;5398.69
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;2;1024;4096;0;0;0;0;0.203136;0.01;5538.16
bench7_3pass_optimized_read_skipping_cub_pss;2048;2;1024;4096;0;-0.5;-0.5;0;0.108976;0.01;10323.4
bench8_cub_flagged;2048;2;1024;4096;-0.5;-0.5;-0.5;-0.5;1.83654;0.01;612.564
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;2;1024;4096;0;-0.5;-0.5;0;0.110544;0.01;10176.9
bench1_base_variant;4096;2;1024;4096;0;0;0;0;1.26352;0.01;890.37
bench2_base_variant_skipping;4096;2;1024;4096;0;0;0;0;1.11717;0.01;1007.01
bench3_3pass_streaming;4096;2;1024;4096;-0.5;-0.5;-0.5;-0.5;0.287728;0.01;3909.94
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;2;1024;4096;0;-0.5;-0.5;0;0.322048;0.01;3493.27
bench5_3pass_optimized_read_skipping_partial_pss;4096;2;1024;4096;0;0;-0.5;0;0.2176;0.01;5170.04
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;2;1024;4096;0;0;0;0;0.219104;0.01;5134.55
bench7_3pass_optimized_read_skipping_cub_pss;4096;2;1024;4096;0;-0.5;-0.5;0;0.129024;0.01;8719.31
bench8_cub_flagged;4096;2;1024;4096;-0.5;-0.5;-0.5;-0.5;1.82779;0.01;615.497
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;2;1024;4096;0;-0.5;-0.5;0;0.13464;0.01;8355.62
bench1_base_variant;512;4;1024;4096;0;0;0;0;0.61984;0.01;1814.98
bench2_base_variant_skipping;512;4;1024;4096;0;0;0;0;0.707584;0.01;1589.92
bench3_3pass_streaming;512;4;1024;4096;-0.5;-0.5;-0.5;-0.5;0.290432;0.01;3873.54
bench4_3pass_optimized_read_non_skipping_cub_pss;512;4;1024;4096;0;-0.5;-0.5;0;0.312912;0.01;3595.26
bench5_3pass_optimized_read_skipping_partial_pss;512;4;1024;4096;0;0;-0.5;0;0.242016;0.01;4648.45
bench6_3pass_optimized_read_skipping_two_phase_pss;512;4;1024;4096;0;0;0;0;0.232944;0.01;4829.49
bench7_3pass_optimized_read_skipping_cub_pss;512;4;1024;4096;0;-0.5;-0.5;0;0.1192;0.01;9437.92
bench8_cub_flagged;512;4;1024;4096;-0.5;-0.5;-0.5;-0.5;1.83787;0.01;612.121
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;4;1024;4096;0;-0.5;-0.5;0;0.122368;0.01;9193.58
bench1_base_variant;1024;4;1024;4096;0;0;0;0;1.31328;0.01;856.634
bench2_base_variant_skipping;1024;4;1024;4096;0;0;0;0;0.69384;0.01;1621.41
bench3_3pass_streaming;1024;4;1024;4096;-0.5;-0.5;-0.5;-0.5;0.288784;0.01;3895.65
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;4;1024;4096;0;-0.5;-0.5;0;0.318912;0.01;3527.62
bench5_3pass_optimized_read_skipping_partial_pss;1024;4;1024;4096;0;0;-0.5;0;0.236608;0.01;4754.7
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;4;1024;4096;0;0;0;0;0.224768;0.01;5005.16
bench7_3pass_optimized_read_skipping_cub_pss;1024;4;1024;4096;0;-0.5;-0.5;0;0.117248;0.01;9595.05
bench8_cub_flagged;1024;4;1024;4096;-0.5;-0.5;-0.5;-0.5;1.82322;0.01;617.042
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;4;1024;4096;0;-0.5;-0.5;0;0.121344;0.01;9271.16
bench1_base_variant;2048;4;1024;4096;0;0;0;0;0.880048;0.01;1278.34
bench2_base_variant_skipping;2048;4;1024;4096;0;0;0;0;0.647664;0.01;1737.01
