benchmark;chunk_length;cluster;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity,throughput
bench1_base_variant;512;1;1024;4096;0;0;0;0;2.50462;0.01;798.523
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;1.29856;0.01;1540.17
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.11208;0.01;1798.43
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;2.28301;0.01;876.037
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;0.747808;0.01;2674.48
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;1.06035;0.01;1886.17
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.49496;0.01;4040.73
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;6.96418;0.01;287.184
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.614768;0.01;3253.26
bench1_base_variant;1024;1;1024;4096;0;0;0;0;6.45587;0.01;309.796
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;1.40544;0.01;1423.04
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.006;0.01;1988.07
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;2.33318;0.01;857.198
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;0.64512;0.01;3100.2
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;0.683904;0.01;2924.39
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.520192;0.01;3844.73
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;6.22736;0.01;321.163
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.54016;0.01;3702.61
bench1_base_variant;2048;1;1024;4096;0;0;0;0;8.31477;0.01;240.536
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;2.18005;0.01;917.411
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.958976;0.01;2085.56
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;2.19032;0.01;913.109
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;0.591872;0.01;3379.11
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;0.608288;0.01;3287.92
bench7_3pass_optimized_read_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.479296;0.01;4172.79
bench8_cub_flagged;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;6.09434;0.01;328.174
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.509952;0.01;3921.94
bench1_base_variant;4096;1;1024;4096;0;0;0;0;12.2532;0.01;163.223
bench2_base_variant_skipping;4096;1;1024;4096;0;0;0;0;4.03046;0.01;496.221
bench3_3pass_streaming;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.962544;0.01;2077.83
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;2.2185;0.01;901.512
bench5_3pass_optimized_read_skipping_partial_pss;4096;1;1024;4096;0;0;-0.5;0;0.59136;0.01;3382.03
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1;1024;4096;0;0;0;0;0.6016;0.01;3324.47
bench7_3pass_optimized_read_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.489952;0.01;4082.03
bench8_cub_flagged;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;6.11342;0.01;327.149
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.518144;0.01;3859.93
bench1_base_variant;512;2;1024;4096;0;0;0;0;2.09706;0.01;953.718
bench2_base_variant_skipping;512;2;1024;4096;0;0;0;0;1.48326;0.01;1348.38
bench3_3pass_streaming;512;2;1024;4096;-0.5;-0.5;-0.5;-0.5;1.05322;0.01;1898.95
bench4_3pass_optimized_read_non_skipping_cub_pss;512;2;1024;4096;0;-0.5;-0.5;0;2.27774;0.01;878.062
bench5_3pass_optimized_read_skipping_partial_pss;512;2;1024;4096;0;0;-0.5;0;0.799728;0.01;2500.85
bench6_3pass_optimized_read_skipping_two_phase_pss;512;2;1024;4096;0;0;0;0;0.864768;0.01;2312.76
bench7_3pass_optimized_read_skipping_cub_pss;512;2;1024;4096;0;-0.5;-0.5;0;0.57344;0.01;3487.72
bench8_cub_flagged;512;2;1024;4096;-0.5;-0.5;-0.5;-0.5;6.37728;0.01;313.613
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;2;1024;4096;0;-0.5;-0.5;0;0.604048;0.01;3311
bench1_base_variant;1024;2;1024;4096;0;0;0;0;5.73747;0.01;348.586
bench2_base_variant_skipping;1024;2;1024;4096;0;0;0;0;1.73414;0.01;1153.31
bench3_3pass_streaming;1024;2;1024;4096;-0.5;-0.5;-0.5;-0.5;1.03731;0.01;1928.06
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;2;1024;4096;0;-0.5;-0.5;0;2.27939;0.01;877.427
bench5_3pass_optimized_read_skipping_partial_pss;1024;2;1024;4096;0;0;-0.5;0;0.696832;0.01;2870.13
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;2;1024;4096;0;0;0;0;0.722336;0.01;2768.79
bench7_3pass_optimized_read_skipping_cub_pss;1024;2;1024;4096;0;-0.5;-0.5;0;0.556544;0.01;3593.61
bench8_cub_flagged;1024;2;1024;4096;-0.5;-0.5;-0.5;-0.5;6.2505;0.01;319.975
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;2;1024;4096;0;-0.5;-0.5;0;0.587264;0.01;3405.62
