benchmark;chunk_length;cluster;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity,throughput
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;1.81955;0.05;686.982
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.599584;0.05;2084.78
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.709632;0.05;1761.48
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;0.415232;0.05;3010.37
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;0.404992;0.05;3086.48
bench7_3pass_optimized_read_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.304576;0.05;4104.07
bench8_cub_flagged;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.87898;0.05;665.256
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.311808;0.05;4008.88
bench1_base_variant;4096;1;1024;4096;0;0;0;0;4.40986;0.05;283.456
bench2_base_variant_skipping;4096;1;1024;4096;0;0;0;0;3.4263;0.05;364.825
bench3_3pass_streaming;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.595456;0.05;2099.23
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.718336;0.05;1740.13
bench5_3pass_optimized_read_skipping_partial_pss;4096;1;1024;4096;0;0;-0.5;0;0.40592;0.05;3079.42
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1;1024;4096;0;0;0;0;0.403392;0.05;3098.72
bench7_3pass_optimized_read_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.307584;0.05;4063.93
bench8_cub_flagged;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.8857;0.05;662.885
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.313248;0.05;3990.45
bench1_base_variant;512;1;1024;4096;0;0;0;0;7.05882;0.09;177.084
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;6.14861;0.09;203.298
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.756816;0.09;1651.66
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.822768;0.09;1519.26
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;0.586784;0.09;2130.26
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;0.566752;0.09;2205.55
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.433664;0.09;2882.42
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.99885;0.09;625.36
