benchmark;chunk_length;cluster;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity,throughput
bench1_base_variant;512;1;1024;4096;0;0;0;0;1.69574;0.01;884.567
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;1.69421;0.01;885.37
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.46534;0.01;1023.65
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;1.37746;0.01;1088.96
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;1.56621;0.01;957.727
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;1.58003;0.01;949.348
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;1.4249;0.01;1052.71
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;3.3453;0.01;448.391
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;1.17043;0.01;1281.58
bench1_base_variant;1024;1;1024;4096;0;0;0;0;3.60858;0.01;415.676
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;3.6239;0.01;413.918
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.46848;0.01;1021.46
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;1.40384;0.01;1068.5
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;1.56621;0.01;957.727
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;1.56262;0.01;959.924
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;1.39867;0.01;1072.45
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;4.15768;0.01;360.778
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;1.13594;0.01;1320.5
bench1_base_variant;2048;1;1024;4096;0;0;0;0;5.75477;0.01;260.653
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;5.75998;0.01;260.417
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.38899;0.01;1079.92
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;1.33464;0.01;1123.9
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;1.48317;0.01;1011.35
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;1.46944;0.01;1020.8
bench7_3pass_optimized_read_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;1.35915;0.01;1103.63
bench8_cub_flagged;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;3.19533;0.01;469.435
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;1.09723;0.01;1367.08
bench1_base_variant;4096;1;1024;4096;0;0;0;0;6.10557;0.01;245.677
bench2_base_variant_skipping;4096;1;1024;4096;0;0;0;0;6.0759;0.01;246.877
bench3_3pass_streaming;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.39264;0.01;1077.09
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;1.34754;0.01;1113.14
bench5_3pass_optimized_read_skipping_partial_pss;4096;1;1024;4096;0;0;-0.5;0;1.48715;0.01;1008.64
