benchmark;chunk_length;cluster;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity,throughput
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;3.48712;0.05;322.616
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.704512;0.05;1596.85
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.749056;0.05;1501.89
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;0.85896;0.05;1309.72
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;0.853488;0.05;1318.12
bench7_3pass_optimized_read_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.757184;0.05;1485.77
bench8_cub_flagged;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.86773;0.05;602.336
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.50576;0.05;2224.38
bench1_base_variant;4096;1;1024;4096;0;0;0;0;2.35931;0.05;476.834
bench2_base_variant_skipping;4096;1;1024;4096;0;0;0;0;2.36083;0.05;476.527
bench3_3pass_streaming;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.704896;0.05;1595.98
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.786944;0.05;1429.58
bench5_3pass_optimized_read_skipping_partial_pss;4096;1;1024;4096;0;0;-0.5;0;0.882688;0.05;1274.52
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1;1024;4096;0;0;0;0;0.877056;0.05;1282.7
bench7_3pass_optimized_read_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.792576;0.05;1419.42
bench8_cub_flagged;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.87034;0.05;601.496
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.5504;0.05;2043.97
bench1_base_variant;512;1;1024;4096;0;0;0;0;4.47437;0.09;251.432
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;4.47074;0.09;251.636
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.900656;0.09;1249.09
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.883712;0.09;1273.04
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;1.01939;0.09;1103.6
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;1.0112;0.09;1112.54
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.897008;0.09;1254.17
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.93216;0.09;582.25
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.72192;0.09;1558.34
bench1_base_variant;1024;1;1024;4096;0;0;0;0;4.91878;0.09;228.715
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;4.9132;0.09;228.975
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.88064;0.09;1277.48
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.876016;0.09;1284.22
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;0.995216;0.09;1130.41
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;0.989072;0.09;1137.43
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.88576;0.09;1270.1
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.90925;0.09;589.237
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.718688;0.09;1565.35
bench1_base_variant;2048;1;1024;4096;0;0;0;0;5.22486;0.09;215.317
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;5.22011;0.09;215.513
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.8816;0.09;1276.09
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.87592;0.09;1284.36
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;0.984016;0.09;1143.27
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;0.978432;0.09;1149.8
bench7_3pass_optimized_read_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.884736;0.09;1271.57
bench8_cub_flagged;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.90091;0.09;591.821
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.720288;0.09;1561.88
bench1_base_variant;4096;1;1024;4096;0;0;0;0;4.34838;0.09;258.717
bench2_base_variant_skipping;4096;1;1024;4096;0;0;0;0;4.34829;0.09;258.723
bench3_3pass_streaming;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.87416;0.09;1286.95
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.954368;0.09;1178.79
bench5_3pass_optimized_read_skipping_partial_pss;4096;1;1024;4096;0;0;-0.5;0;1.04851;0.09;1072.95
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1;1024;4096;0;0;0;0;1.04858;0.09;1072.88
bench7_3pass_optimized_read_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.961424;0.09;1170.14
bench8_cub_flagged;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.8985;0.09;592.574
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.740352;0.09;1519.55
bench1_base_variant;512;1;1024;4096;0;0;0;0;6.37587;0.13;176.446
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;6.37082;0.13;176.586
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.11258;0.13;1011.17
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;1.00813;0.13;1115.93
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;1.13203;0.13;993.788
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;1.13349;0.13;992.512
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;1.01979;0.13;1103.17
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.95021;0.13;576.862
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.946672;0.13;1188.37
bench1_base_variant;1024;1;1024;4096;0;0;0;0;6.66214;0.13;168.865
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;6.65126;0.13;169.141
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.10291;0.13;1020.03
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;1.00698;0.13;1117.21
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;1.11658;0.13;1007.54
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;1.1176;0.13;1006.62
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;1.01478;0.13;1108.61
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.92774;0.13;583.584
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.945664;0.13;1189.64
bench1_base_variant;2048;1;1024;4096;0;0;0;0;6.85866;0.13;164.026
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;6.86624;0.13;163.845
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.09773;0.13;1024.84
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;1.00339;0.13;1121.2
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;1.10592;0.13;1017.25
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;1.10336;0.13;1019.61
bench7_3pass_optimized_read_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;1.00912;0.13;1114.83
bench8_cub_flagged;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.92205;0.13;585.313
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.943616;0.13;1192.22
bench1_base_variant;4096;1;1024;4096;0;0;0;0;6.01846;0.13;186.925
bench2_base_variant_skipping;4096;1;1024;4096;0;0;0;0;6.00986;0.13;187.193
bench3_3pass_streaming;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;1.09722;0.13;1025.32
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;1.07622;0.13;1045.32
bench5_3pass_optimized_read_skipping_partial_pss;4096;1;1024;4096;0;0;-0.5;0;1.16634;0.13;964.559
