benchmark;chunk_length;cluster;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity,throughput
bench2_base_variant_skipping;2048;2;1024;4096;0;0;0;0;1.8728;0.01;667.45
bench3_3pass_streaming;2048;2;1024;4096;-0.5;-0.5;-0.5;-0.5;0.456288;0.01;2739.5
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;2;1024;4096;0;-0.5;-0.5;0;0.591312;0.01;2113.94
bench5_3pass_optimized_read_skipping_partial_pss;2048;2;1024;4096;0;0;-0.5;0;0.274896;0.01;4547.17
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;2;1024;4096;0;0;0;0;0.268832;0.01;4649.74
bench7_3pass_optimized_read_skipping_cub_pss;2048;2;1024;4096;0;-0.5;-0.5;0;0.165296;0.01;7562.19
bench8_cub_flagged;2048;2;1024;4096;-0.5;-0.5;-0.5;-0.5;1.86046;0.01;671.875
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;2;1024;4096;0;-0.5;-0.5;0;0.169904;0.01;7357.1
bench1_base_variant;4096;2;1024;4096;0;0;0;0;3.13856;0.01;398.272
bench2_base_variant_skipping;4096;2;1024;4096;0;0;0;0;2.1155;0.01;590.876
bench3_3pass_streaming;4096;2;1024;4096;-0.5;-0.5;-0.5;-0.5;0.453088;0.01;2758.85
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;2;1024;4096;0;-0.5;-0.5;0;0.585728;0.01;2134.1
bench5_3pass_optimized_read_skipping_partial_pss;4096;2;1024;4096;0;0;-0.5;0;0.265664;0.01;4705.19
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;2;1024;4096;0;0;0;0;0.261072;0.01;4787.95
bench7_3pass_optimized_read_skipping_cub_pss;4096;2;1024;4096;0;-0.5;-0.5;0;0.164864;0.01;7582.01
bench8_cub_flagged;4096;2;1024;4096;-0.5;-0.5;-0.5;-0.5;1.83558;0.01;680.982
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;2;1024;4096;0;-0.5;-0.5;0;0.17152;0.01;7287.78
bench1_base_variant;512;4;1024;4096;0;0;0;0;0.73208;0.01;1707.46
bench2_base_variant_skipping;512;4;1024;4096;0;0;0;0;0.873984;0.01;1430.23
bench3_3pass_streaming;512;4;1024;4096;-0.5;-0.5;-0.5;-0.5;0.490448;0.01;2548.69
bench4_3pass_optimized_read_non_skipping_cub_pss;512;4;1024;4096;0;-0.5;-0.5;0;0.59392;0.01;2104.66
bench5_3pass_optimized_read_skipping_partial_pss;512;4;1024;4096;0;0;-0.5;0;0.319968;0.01;3906.64
bench6_3pass_optimized_read_skipping_two_phase_pss;512;4;1024;4096;0;0;0;0;0.3168;0.01;3945.71
bench7_3pass_optimized_read_skipping_cub_pss;512;4;1024;4096;0;-0.5;-0.5;0;0.188832;0.01;6619.64
bench8_cub_flagged;512;4;1024;4096;-0.5;-0.5;-0.5;-0.5;1.88621;0.01;662.705
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;4;1024;4096;0;-0.5;-0.5;0;0.1956;0.01;6390.59
bench1_base_variant;1024;4;1024;4096;0;0;0;0;1.96099;0.01;637.432
bench2_base_variant_skipping;1024;4;1024;4096;0;0;0;0;1.0921;0.01;1144.59
bench3_3pass_streaming;1024;4;1024;4096;-0.5;-0.5;-0.5;-0.5;0.480112;0.01;2603.56
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;4;1024;4096;0;-0.5;-0.5;0;0.60408;0.01;2069.26
bench5_3pass_optimized_read_skipping_partial_pss;1024;4;1024;4096;0;0;-0.5;0;0.310272;0.01;4028.72
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;4;1024;4096;0;0;0;0;0.294912;0.01;4238.55
bench7_3pass_optimized_read_skipping_cub_pss;1024;4;1024;4096;0;-0.5;-0.5;0;0.185344;0.01;6744.22
bench8_cub_flagged;1024;4;1024;4096;-0.5;-0.5;-0.5;-0.5;1.88205;0.01;664.17
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;4;1024;4096;0;-0.5;-0.5;0;0.191392;0.01;6531.1
bench1_base_variant;2048;4;1024;4096;0;0;0;0;3.25683;0.01;383.809
bench2_base_variant_skipping;2048;4;1024;4096;0;0;0;0;1.21744;0.01;1026.74
bench3_3pass_streaming;2048;4;1024;4096;-0.5;-0.5;-0.5;-0.5;0.479232;0.01;2608.34
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;4;1024;4096;0;-0.5;-0.5;0;0.604672;0.01;2067.24
bench5_3pass_optimized_read_skipping_partial_pss;2048;4;1024;4096;0;0;-0.5;0;0.29376;0.01;4255.17
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;4;1024;4096;0;0;0;0;0.280064;0.01;4463.27
bench7_3pass_optimized_read_skipping_cub_pss;2048;4;1024;4096;0;-0.5;-0.5;0;0.175616;0.01;7117.8
bench8_cub_flagged;2048;4;1024;4096;-0.5;-0.5;-0.5;-0.5;1.88877;0.01;661.807
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;4;1024;4096;0;-0.5;-0.5;0;0.181712;0.01;6879.02
bench1_base_variant;4096;4;1024;4096;0;0;0;0;2.19136;0.01;570.422
bench2_base_variant_skipping;4096;4;1024;4096;0;0;0;0;1.0967;0.01;1139.78
bench3_3pass_streaming;4096;4;1024;4096;-0.5;-0.5;-0.5;-0.5;0.477696;0.01;2616.73
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;4;1024;4096;0;-0.5;-0.5;0;0.60976;0.01;2049.99
bench5_3pass_optimized_read_skipping_partial_pss;4096;4;1024;4096;0;0;-0.5;0;0.286208;0.01;4367.45
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;4;1024;4096;0;0;0;0;0.271824;0.01;4598.56
bench7_3pass_optimized_read_skipping_cub_pss;4096;4;1024;4096;0;-0.5;-0.5;0;0.174592;0.01;7159.55
