benchmark;chunk_length;cluster;block_size;grid_size;time_popc;time_pss1;time_pss2;time_proc;time_total;selectivity,throughput
bench1_base_variant;512;1;1024;4096;0;0;0;0;1.08288;0.01;1385.2
bench2_base_variant_skipping;512;1;1024;4096;0;0;0;0;0.753776;0.01;1989.98
bench3_3pass_streaming;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.56064;0.01;2675.51
bench4_3pass_optimized_read_non_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;1.15606;0.01;1297.51
bench5_3pass_optimized_read_skipping_partial_pss;512;1;1024;4096;0;0;-0.5;0;0.421376;0.01;3559.77
bench6_3pass_optimized_read_skipping_two_phase_pss;512;1;1024;4096;0;0;0;0;0.428544;0.01;3500.22
bench7_3pass_optimized_read_skipping_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.270848;0.01;5538.16
bench8_cub_flagged;512;1;1024;4096;-0.5;-0.5;-0.5;-0.5;3.26758;0.01;459.055
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;512;1;1024;4096;0;-0.5;-0.5;0;0.27944;0.01;5367.88
bench1_base_variant;1024;1;1024;4096;0;0;0;0;3.16518;0.01;473.906
bench2_base_variant_skipping;1024;1;1024;4096;0;0;0;0;1.18269;0.01;1268.3
bench3_3pass_streaming;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.535136;0.01;2803.03
bench4_3pass_optimized_read_non_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;1.11565;0.01;1344.51
bench5_3pass_optimized_read_skipping_partial_pss;1024;1;1024;4096;0;0;-0.5;0;0.381952;0.01;3927.2
bench6_3pass_optimized_read_skipping_two_phase_pss;1024;1;1024;4096;0;0;0;0;0.397824;0.01;3770.51
bench7_3pass_optimized_read_skipping_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.271872;0.01;5517.3
bench8_cub_flagged;1024;1;1024;4096;-0.5;-0.5;-0.5;-0.5;3.19374;0.01;469.668
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;1024;1;1024;4096;0;-0.5;-0.5;0;0.282624;0.01;5307.4
bench1_base_variant;2048;1;1024;4096;0;0;0;0;6.01958;0.01;249.187
bench2_base_variant_skipping;2048;1;1024;4096;0;0;0;0;2.07821;0.01;721.776
bench3_3pass_streaming;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.534432;0.01;2806.72
bench4_3pass_optimized_read_non_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;1.10949;0.01;1351.97
bench5_3pass_optimized_read_skipping_partial_pss;2048;1;1024;4096;0;0;-0.5;0;0.36504;0.01;4109.14
bench6_3pass_optimized_read_skipping_two_phase_pss;2048;1;1024;4096;0;0;0;0;0.375744;0.01;3992.08
bench7_3pass_optimized_read_skipping_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.263264;0.01;5697.7
bench8_cub_flagged;2048;1;1024;4096;-0.5;-0.5;-0.5;-0.5;3.18101;0.01;471.549
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;2048;1;1024;4096;0;-0.5;-0.5;0;0.274864;0.01;5457.24
bench1_base_variant;4096;1;1024;4096;0;0;0;0;7.64568;0.01;196.189
bench2_base_variant_skipping;4096;1;1024;4096;0;0;0;0;3.89155;0.01;385.45
bench3_3pass_streaming;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;0.53296;0.01;2814.47
bench4_3pass_optimized_read_non_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;1.11923;0.01;1340.2
bench5_3pass_optimized_read_skipping_partial_pss;4096;1;1024;4096;0;0;-0.5;0;0.367104;0.01;4086.04
bench6_3pass_optimized_read_skipping_two_phase_pss;4096;1;1024;4096;0;0;0;0;0.372224;0.01;4029.83
bench7_3pass_optimized_read_skipping_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.270848;0.01;5538.16
bench8_cub_flagged;4096;1;1024;4096;-0.5;-0.5;-0.5;-0.5;3.18208;0.01;471.39
bench10_3pass_optimized_read_skipping_optimized_writeout_cub_pss;4096;1;1024;4096;0;-0.5;-0.5;0;0.283728;0.01;5286.75
